Round`Score`Category`Question_Text`Answer_Text
1`100`General2`What is a name?`1
1`200`General2`What is b name?`2
1`300`General2`What is c name?`3
1`400`General2`What is d name?`4
1`500`General2`What is e name?`5
1`100`Sports`What is f name?`6
1`200`Sports`What is g name?`7
1`300`Sports`What is h name?`8
1`400`Sports`What is i name?`9
1`500`Sports`What is j name?`10
1`100`Media`What is k name?`11
1`200`Media`What is l name?`12
1`300`Media`What is m name?`13
1`400`Media`What is n name?`14
1`500`Media`What is o name?`15
1`100`People`What is p name?`16
1`200`People`What is q name?`17
1`300`People`What is r name?`18
1`400`People`What is s name?`19
1`500`People`What is t name?`20
1`100`Animals`What is u name?`21
1`200`Animals`What is v name?`22
1`300`Animals`What is w name?`23
1`400`Animals`What is x name?`24
1`500`Animals`What is y name?`25
1`100`Games`What is z name?`26
1`200`Games`What is aa name?`27
1`300`Games`What is bb name?`28
1`400`Games`What is cc name?`29
1`500`Games`What is dd name?`30
2`200`General2`What is a name?`1
2`400`General2`What is b name?`2
2`600`General2`What is c name?`3
2`800`General2`What is d name?`4
2`1000`General2`What is e name?`5
2`200`Sports`What is f name?`6
2`400`Sports`What is g name?`7
2`600`Sports`What is h name?`8
2`800`Sports`What is i name?`9
2`1000`Sports`What is j name?`10
2`200`Media`What is k name?`11
2`400`Media`What is l name?`12
2`600`Media`What is m name?`13
2`800`Media`What is n name?`14
2`1000`Media`What is o name?`15
2`200`People`What is p name?`16
2`400`People`What is q name?`17
2`600`People`What is r name?`18
2`800`People`What is s name?`19
2`1000`People`What is t name?`20
2`200`Animals`What is u name?`21
2`400`Animals`What is v name?`22
2`600`Animals`What is w name?`23
2`800`Animals`What is x name?`24
2`1000`Animals`What is y name?`25
2`200`Games`What is z name?`26
2`400`Games`What is aa name?`27
2`600`Games`What is bb name?`28
2`800`Games`What is cc name?`29
2`1000`Games`What is dd name?`30
